concept,cat_syndrome,cat_pathogen,cat_drug,exp_time_of_year,exp_drug,exp_abx,exp_XRT,exp_food,exp_travel,exp_environment,exp_workplace_exposures,exp_close_contact,exp_sexual,exp_animals,exp_bites,exp_insects,exp_sick_contacts,hx_age,hx_allergy,hx_vaccination,hx_pathogens,hx_infection,hx_comorbidities,hx_immunocompromise,hx_surgery,hx_prosthetics_hardware,comments
FUO,1.0,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,1.0,
acutely_ill_fever_rash,1.0,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,
upper_resp_infxn,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
pharyngitis,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
laryngitis,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
croup,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,vax history to help discriminate from life threatening infxns like Hib and diphtheria
otitis,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,,environmental exposure related to swimming pools
mastoiditis,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
sinusitis,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,prior infection with URI common
epiglottitis,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
oral_cavity_neck_head,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,,
bronchitis,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
bronchiolitis,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
lower_resp_infxn,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,
pleural_effusion_empyema,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
lung_abscess,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
cystic_fibrosis,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
UTI,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,
sepsis,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,
peritonitis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,
intra_abdominal_abscess,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,
liver_biliary_infection,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,
pancreatic_infections,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
splenic_abscess,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,
appendicitis,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
diverticulitis_neutropenic_colitis,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,
native_valve_endocarditis,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,
prosthetic_valve_endocarditis,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,
non_valvular_cardiac_device_infxn,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,
myocarditis_pericarditis,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,
mediastinitis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,
acute_meningitis,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,
encephalitis,1.0,,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,,,
brain_abscess,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,
epidural_abscess,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,
CSF_shunt_infection,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,
celluitis,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,
necrotizing_fasciitis,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,
myositis,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,
lymphadenitis,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,
enteric_fever,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,
esophagitis,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,
diarrhea_no_fever,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,
